question,answer
What is Smart Park project?,It is a smart parking management system that automates parking slot allocation. It helps users find and manage parking spaces efficiently.
What problem does it solve?,"It solves parking issues like time waste, space unavailability, and manual management. It makes parking faster, organized, and automated."
Why did you choose this project?,Because parking is a real-world problem in cities and needs smart solutions. It also helps apply software + automation concepts.
Main objective?,To manage parking slots digitally and efficiently. And reduce human effort in parking systems.
Who are users?,"Drivers, parking attendants, and system admins. Anyone needing parking management."
How can a user log in?,User enters username and password in login form. System verifies credentials from database.
What happens after login?,"If credentials are correct, user enters dashboard. Otherwise, access is denied."
How is login data stored?,User credentials are stored in database or file. Password should be securely saved (ideally hashed).
What if user forgets password?,System can allow reset password option. Or admin can manually update it.
Can multiple users login?,"Yes, multiple users can login at the same time. Each session is handled separately."
What is authentication?,It is the process of verifying user identity. Only valid users are allowed access.
What is authorization?,It defines what a user is allowed to do. Admin and user have different permissions.
Is parking available?,System checks database and shows available slots. It updates in real-time or near real-time.
Can I reserve a slot?,"Yes, users can book a slot before arrival. The system marks it as reserved in database."
How is parking time calculated?,From entry time to exit time automatically. System stores timestamps.
How is billing calculated?,Billing is based on time duration and parking rate. System calculates total cost automatically.
Architecture?,Client-server architecture is used. Frontend interacts with backend APIs.
Data flow?,User request ? backend ? database ? response. System processes and returns result.
REST API use?,"Used for communication between frontend and backend. Uses GET, POST methods."
Why backend is needed?,To handle logic and data storage. Frontend alone cannot manage system data.
What is stored in database?,"User data, slot status, bookings, and billing info. Also timestamps and vehicle details."
How is slot updated?,"When a car parks, status changes to �occupied�. When it leaves, status becomes �free�."
Why database instead of file only?,Database is faster and more reliable. It supports large-scale data handling.
What model used?,Incremental or prototype model. System built step-by-step.
Functional requirements?,"Login, slot booking, availability checking, billing. These are main system features."
Non-functional requirements?,"Speed, security, reliability, scalability. System should be efficient and stable."
Main features?,"Slot management, booking, billing, and user login. Admin panel and reports included."
Real-time system?,"Yes, it updates slot status dynamically. Users see current availability."
Admin role?,"Admin manages slots, users, and system settings. Also monitors parking activity."
Can admin modify system?,"Yes, admin can change pricing and rules. Full system control is given."
How is login secured?,By verifying credentials from database. Passwords should be protected.
Is system secure?,Basic security is implemented. Can be improved using encryption.
System speed?,System responds quickly for small to medium data. Performance depends on backend efficiency.
Scalability?,"Yes, system can be scaled using proper database. More users can be added easily."
Two users book same slot?,System checks availability before booking. Only one user can confirm.
How handled?,Using validation and database update checks. Prevents double booking.
