Date,Year,Month,Day,Day_of_Week,Total_Parking_Slots,Occupied_Slots,Available_Slots,Occupancy_Rate_Percentage,Total_Bookings,Peak_Hour_Start,Peak_Hour_End,Peak_Hour_Bookings,Revenue_PKR,Operating_Cost_PKR,Maintenance_Cost_PKR,Net_Profit_PKR,Average_Parking_Duration_Hours
2023-01-01,2023,1,1,Sunday,100,94,6,94.0,145,12:00,14:00,52,38763.91,11388.36,9628.63,17746.92,5.44
2023-01-02,2023,1,2,Monday,100,38,62,38.0,70,12:00,14:00,22,13177.3,10075.74,0,3101.56,2.39
2023-01-03,2023,1,3,Tuesday,100,52,48,52.0,71,08:00,10:00,27,16074.89,9792.94,0,6281.95,1.63
2023-01-04,2023,1,4,Wednesday,100,45,55,45.0,101,08:00,10:00,28,16491.06,10858.12,0,5632.94,2.97
2023-01-05,2023,1,5,Thursday,100,36,64,36.0,55,08:00,10:00,19,12956.27,9066.15,2653.61,1236.51,2.74
2023-01-06,2023,1,6,Friday,100,56,44,56.0,100,12:00,14:00,38,24073.79,9901.27,0,14172.52,5.37
2023-01-07,2023,1,7,Saturday,100,56,44,56.0,80,12:00,14:00,31,18161.1,10104.63,4338.34,3718.13,5.72
2023-01-08,2023,1,8,Sunday,100,62,38,62.0,138,17:00,20:00,36,21958.81,11030.14,0,10928.67,3.74
2023-01-09,2023,1,9,Monday,100,41,59,41.0,59,12:00,14:00,23,13625.92,10163.36,0,3462.56,1.43
2023-01-10,2023,1,10,Tuesday,100,41,59,41.0,91,17:00,20:00,26,19040.14,10356.86,0,8683.28,3.35
2023-01-11,2023,1,11,Wednesday,100,49,51,49.0,75,17:00,20:00,29,19425.01,10411.21,0,9013.8,2.64
2023-01-12,2023,1,12,Thursday,100,47,53,47.0,71,12:00,14:00,26,18839.32,9372.82,0,9466.5,1.95
2023-01-13,2023,1,13,Friday,100,51,49,51.0,72,12:00,14:00,26,12912.4,10610.52,0,2301.88,3.05
2023-01-14,2023,1,14,Saturday,100,65,35,65.0,88,17:00,20:00,30,14111.67,10420.64,0,3691.03,2.81
2023-01-15,2023,1,15,Sunday,100,66,34,66.0,106,08:00,10:00,41,23304.74,11414.62,4635.93,7254.19,3.73
2023-01-16,2023,1,16,Monday,100,37,63,37.0,55,12:00,14:00,19,9101.31,10038.77,0,-937.46,3.42
2023-01-17,2023,1,17,Tuesday,100,43,57,43.0,67,17:00,20:00,21,16907.79,10118.98,0,6788.81,5.2
2023-01-18,2023,1,18,Wednesday,100,49,51,49.0,83,08:00,10:00,26,13507.33,10630.5,3141.0,-264.17,4.81
2023-01-19,2023,1,19,Thursday,100,46,54,46.0,79,12:00,14:00,22,14128.65,10528.28,0,3600.37,3.93
2023-01-20,2023,1,20,Friday,100,35,65,35.0,50,17:00,20:00,13,8947.82,9711.72,0,-763.9,2.64
2023-01-21,2023,1,21,Saturday,100,58,42,58.0,93,17:00,20:00,31,24058.97,10882.17,4582.0,8594.8,4.63
2023-01-22,2023,1,22,Sunday,100,78,22,78.0,97,17:00,20:00,32,16534.35,11706.31,0,4828.04,6.22
2023-01-23,2023,1,23,Monday,100,45,55,45.0,94,12:00,14:00,32,24873.99,9685.61,0,15188.38,1.68
2023-01-24,2023,1,24,Tuesday,100,50,50,50.0,102,12:00,14:00,28,18935.03,9868.09,0,9066.94,2.91
2023-01-25,2023,1,25,Wednesday,100,57,43,57.0,73,12:00,14:00,21,11742.15,10684.29,0,1057.86,4.81
2023-01-26,2023,1,26,Thursday,100,44,56,44.0,94,12:00,14:00,26,14938.25,9946.92,0,4991.33,5.13
2023-01-27,2023,1,27,Friday,100,50,50,50.0,96,08:00,10:00,28,16158.54,10286.64,0,5871.9,5.43
2023-01-28,2023,1,28,Saturday,100,65,35,65.0,134,08:00,10:00,42,23684.42,10912.42,5243.0,7529.0,3.8
2023-01-29,2023,1,29,Sunday,100,66,34,66.0,135,17:00,20:00,38,33116.97,10773.45,0,22343.52,4.93
2023-01-30,2023,1,30,Monday,100,43,57,43.0,61,12:00,14:00,18,13116.65,10195.91,2714.27,206.47,5.41
2023-01-31,2023,1,31,Tuesday,100,47,53,47.0,82,12:00,14:00,24,18312.26,9803.17,0,8509.09,3.14
2023-02-01,2023,2,1,Wednesday,100,36,64,36.0,68,17:00,20:00,25,12070.51,10311.45,13936.11,-12177.05,4.18
2023-02-02,2023,2,2,Thursday,100,45,55,45.0,79,12:00,14:00,23,13448.57,10135.69,0,3312.88,3.2
2023-02-03,2023,2,3,Friday,100,38,62,38.0,65,08:00,10:00,24,14477.35,9504.07,0,4973.28,1.86
2023-02-04,2023,2,4,Saturday,100,71,29,71.0,136,12:00,14:00,51,32539.41,10824.95,0,21714.46,6.5
2023-02-05,2023,2,5,Sunday,100,57,43,57.0,92,17:00,20:00,31,21678.87,10725.22,5113.68,5839.97,3.74
2023-02-06,2023,2,6,Monday,100,50,50,50.0,79,12:00,14:00,31,13351.27,9838.12,5800.16,-2287.01,4.99
2023-02-07,2023,2,7,Tuesday,100,40,60,40.0,65,17:00,20:00,22,16693.26,9766.69,3109.25,3817.32,4.84
2023-02-08,2023,2,8,Wednesday,100,43,57,43.0,73,12:00,14:00,21,14259.66,9746.35,0,4513.31,4.57
2023-02-09,2023,2,9,Thursday,100,53,47,53.0,97,12:00,14:00,27,19792.63,10275.63,0,9517.0,2.46
2023-02-10,2023,2,10,Friday,100,53,47,53.0,105,17:00,20:00,41,21291.02,10265.15,3091.74,7934.13,3.31
2023-02-11,2023,2,11,Saturday,100,58,42,58.0,122,17:00,20:00,46,31502.42,10984.49,0,20517.93,2.39
2023-02-12,2023,2,12,Sunday,100,63,37,63.0,106,08:00,10:00,33,19016.1,10800.84,3009.09,5206.17,3.17
2023-02-13,2023,2,13,Monday,100,54,46,54.0,120,08:00,10:00,42,28990.64,10894.68,0,18095.96,3.92
2023-02-14,2023,2,14,Tuesday,100,77,23,77.0,114,17:00,20:00,36,24175.12,12093.31,0,12081.81,5.75
2023-02-15,2023,2,15,Wednesday,100,48,52,48.0,77,12:00,14:00,30,15533.91,9599.32,4788.77,1145.82,2.31
